"phenotype","fdr_threshold","contrast","model","up","down"
"caa","0.05","cvda_4gp21","basic","extracellular matrix organization, collagen fibril organization, regulation of small GTPase mediated signal transduction, axon guidance, neural tube development, camera-type eye morphogenesis, myoblast fusion, regulation of actin cytoskeleton organization, regulation of neuronal synaptic plasticity","cytoplasmic translation, translation, protein folding, translational initiation, endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, chaperone-mediated protein folding, ribosomal small subunit biogenesis, mRNA splicing, via spliceosome, negative regulation of apoptotic process, proton transmembrane transport, positive regulation of telomere maintenance via telomerase, protein K48-linked ubiquitination, mitochondrial translation, ribosomal large subunit biogenesis, protein stabilization, proton motive force-driven mitochondrial ATP synthesis, protein targeting to mitochondrion, chaperone-mediated protein complex assembly, RNA splicing, inner mitochondrial membrane organization, U2-type prespliceosome assembly, rRNA processing, regulation of macroautophagy, protein transport, nucleosome assembly, regulation of translational initiation, protein neddylation, mitochondrial electron transport, NADH to ubiquinone, intracellular iron ion homeostasis, substantia nigra development, autophagosome maturation, positive regulation of ATP-dependent activity, ubiquitin-dependent protein catabolic process, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion, intra-Golgi vesicle-mediated transport, mitochondrial respiratory chain complex I assembly, protein K63-linked deubiquitination, cell division, positive regulation of translation, keratinocyte differentiation, tricarboxylic acid cycle, Rab protein signal transduction, positive regulation of sodium ion transport, aerobic respiration, rhythmic process, proteasome-mediated ubiquitin-dependent protein catabolic process, synaptic vesicle priming"
"caa","0.05","cvda_4gp22","basic","extracellular matrix organization, collagen fibril organization, positive regulation of cholesterol efflux, striated muscle contraction, miRNA-mediated post-transcriptional gene silencing, animal organ morphogenesis","translation, cytoplasmic translation, intracellular protein transport, translational initiation, protein folding, proteasome-mediated ubiquitin-dependent protein catabolic process, chaperone-mediated protein folding, endoplasmic reticulum to Golgi vesicle-mediated transport, cell division, negative regulation of apoptotic process, mitochondrial translation, ribosomal small subunit biogenesis, ubiquitin-dependent protein catabolic process, ribosomal large subunit biogenesis, protein K48-linked ubiquitination, protein transport, positive regulation of telomere maintenance via telomerase, regulation of translational initiation, mitotic metaphase chromosome alignment, rRNA processing, protein stabilization, binding of sperm to zona pellucida, tricarboxylic acid cycle, nucleosome assembly, regulation of macroautophagy, G1/S transition of mitotic cell cycle, vesicle-mediated transport, protein targeting to mitochondrion, intra-Golgi vesicle-mediated transport, protein polyubiquitination, protein ubiquitination, positive regulation of protein ubiquitination, anterograde axonal transport, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, chromosome segregation, DNA damage checkpoint signaling, substantia nigra development, autophagosome maturation, intracellular iron ion homeostasis, mRNA splicing, via spliceosome, spindle organization, positive regulation of ATP-dependent activity, double-strand break repair, protein import into nucleus, inner mitochondrial membrane organization, synaptic vesicle priming, melanosome transport, membrane organization, protein K63-linked ubiquitination, negative regulation of phagocytosis, protein deubiquitination, U2-type prespliceosome assembly, fatty acid beta-oxidation, membrane fusion"
"caa","0.05","cvda_4gp23","basic","cell migration, angiogenesis, intracellular signal transduction, spinal cord development, lung development, regulation of small GTPase mediated signal transduction, inflammatory response, Rho protein signal transduction, skeletal muscle cell differentiation, actin cytoskeleton organization, negative regulation of cell population proliferation, protein phosphorylation, regulation of cell shape, cell differentiation, odontogenesis of dentin-containing tooth, response to immobilization stress, skeletal system development, interleukin-1-mediated signaling pathway, positive regulation of miRNA transcription, nuclear migration, cellular response to tumor necrosis factor, monocyte differentiation, extracellular matrix organization, heart morphogenesis, canonical NF-kappaB signal transduction, cellular response to hypoxia, positive regulation of JNK cascade, actin filament organization, collagen fibril organization, myoblast fusion, integrated stress response signaling, in utero embryonic development, negative regulation of DNA-templated transcription, intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","cytoplasmic translation, translation, translational initiation, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, cilium assembly, ribosomal large subunit biogenesis, mRNA splicing, via spliceosome, U2-type prespliceosome assembly"
"caa","0.05","cvda_4gp21","lifestyle","collagen fibril organization, extracellular matrix organization, skin development","cytoplasmic translation, translation, translational initiation, intracellular protein transport, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, chaperone-mediated protein folding, protein folding, negative regulation of apoptotic process, mRNA splicing, via spliceosome, protein stabilization, inner mitochondrial membrane organization, ribosomal large subunit biogenesis, proton motive force-driven mitochondrial ATP synthesis, mitochondrial translation, proton transmembrane transport, ubiquitin-dependent protein catabolic process, rRNA processing, protein N-linked glycosylation via asparagine, positive regulation of translation, regulation of translational initiation, U2-type prespliceosome assembly, protein K48-linked ubiquitination, proteasome-mediated ubiquitin-dependent protein catabolic process, viral release from host cell, autophagosome maturation, anterograde axonal transport, regulation of macroautophagy, synaptic vesicle priming, nucleosome assembly, RNA splicing, aerobic respiration, protein targeting to mitochondrion, mitochondrial electron transport, NADH to ubiquinone, mitochondrial respiratory chain complex I assembly, response to endoplasmic reticulum stress, positive regulation of telomere maintenance via telomerase, protein neddylation, intracellular iron ion homeostasis, vesicle-mediated transport, substantia nigra development, cell division, mitotic metaphase chromosome alignment, stress granule assembly"
"caa","0.05","cvda_4gp22","lifestyle","extracellular matrix organization, collagen fibril organization","cytoplasmic translation, translation, intracellular protein transport, mitochondrial translation, proteasome-mediated ubiquitin-dependent protein catabolic process, endoplasmic reticulum to Golgi vesicle-mediated transport, cell division, translational initiation, ribosomal small subunit biogenesis, protein folding, negative regulation of apoptotic process, ubiquitin-dependent protein catabolic process, chaperone-mediated protein folding, ribosomal large subunit biogenesis, binding of sperm to zona pellucida, regulation of translational initiation, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, intra-Golgi vesicle-mediated transport, protein polyubiquitination, protein transport, intracellular iron ion homeostasis, inner mitochondrial membrane organization, positive regulation of telomere maintenance via telomerase, anterograde axonal transport, proton motive force-driven mitochondrial ATP synthesis, protein K48-linked ubiquitination, plasma membrane repair, substantia nigra development, membrane fission, response to endoplasmic reticulum stress, protein ubiquitination, mitochondrial electron transport, NADH to ubiquinone, regulation of synaptic vesicle exocytosis, synaptic vesicle priming, autophagosome maturation, regulation of macroautophagy, positive regulation of protein ubiquitination, fatty acid beta-oxidation, protein neddylation"
"caa","0.05","cvda_4gp23","lifestyle","regulation of small GTPase mediated signal transduction, protein phosphorylation, response to immobilization stress, odontogenesis of dentin-containing tooth, intracellular signal transduction, keratan sulfate biosynthetic process, lung development, monoatomic ion transmembrane transport, angiogenesis, collagen fibril organization, adenylate cyclase-activating adrenergic receptor signaling pathway, Rho protein signal transduction, cell migration","cytoplasmic translation, translation, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, ribosomal small subunit biogenesis, ribosomal large subunit biogenesis, mRNA splicing, via spliceosome, intracellular protein transport, regulation of macroautophagy"
"caa","0.05","cvda_4gp21","AD","collagen fibril organization, skin development, extracellular matrix organization","cytoplasmic translation, translation, translational initiation, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, chaperone-mediated protein folding, negative regulation of apoptotic process, protein folding, mRNA splicing, via spliceosome, protein stabilization, inner mitochondrial membrane organization, ribosomal large subunit biogenesis, proton motive force-driven mitochondrial ATP synthesis, proton transmembrane transport, ubiquitin-dependent protein catabolic process, mitochondrial translation, nucleosome assembly, U2-type prespliceosome assembly, protein K48-linked ubiquitination, protein targeting to mitochondrion, proteasome-mediated ubiquitin-dependent protein catabolic process, protein N-linked glycosylation via asparagine, RNA splicing, cell division, regulation of translational initiation, viral release from host cell, synaptic vesicle priming, regulation of macroautophagy, rRNA processing, autophagosome maturation, protein neddylation, substantia nigra development, response to endoplasmic reticulum stress, positive regulation of translation, anterograde axonal transport, mitochondrial respiratory chain complex I assembly, mitochondrial electron transport, NADH to ubiquinone, aerobic respiration, synaptic transmission, GABAergic, intracellular iron ion homeostasis, mitotic spindle organization, positive regulation of telomere maintenance via telomerase, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, negative regulation of proteasomal ubiquitin-dependent protein catabolic process, vesicle-mediated transport"
"caa","0.05","cvda_4gp22","AD","collagen fibril organization, extracellular matrix organization","cytoplasmic translation, translation, intracellular protein transport, proteasome-mediated ubiquitin-dependent protein catabolic process, endoplasmic reticulum to Golgi vesicle-mediated transport, mitochondrial translation, protein folding, translational initiation, cell division, ribosomal small subunit biogenesis, chaperone-mediated protein folding, ubiquitin-dependent protein catabolic process, negative regulation of apoptotic process, regulation of translational initiation, ribosomal large subunit biogenesis, binding of sperm to zona pellucida, protein polyubiquitination, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, intra-Golgi vesicle-mediated transport, positive regulation of telomere maintenance via telomerase, protein transport, intracellular iron ion homeostasis, proton motive force-driven mitochondrial ATP synthesis, inner mitochondrial membrane organization, protein K48-linked ubiquitination, anterograde axonal transport, substantia nigra development, protein ubiquitination, response to endoplasmic reticulum stress, plasma membrane repair, synaptic vesicle priming, fatty acid beta-oxidation, regulation of synaptic vesicle exocytosis, protein targeting to mitochondrion, regulation of macroautophagy, vesicle-mediated transport, membrane fission, protein deubiquitination, proton transmembrane transport"
"caa","0.05","cvda_4gp23","AD","odontogenesis of dentin-containing tooth, protein phosphorylation, response to immobilization stress, regulation of small GTPase mediated signal transduction, cell migration, collagen fibril organization, intracellular signal transduction, angiogenesis, monoatomic ion transmembrane transport, lung development, positive regulation of angiogenesis, skeletal muscle cell differentiation, spinal cord development, positive regulation of cell migration, Rho protein signal transduction","cytoplasmic translation, translation, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, ribosomal small subunit biogenesis, ribosomal large subunit biogenesis, mRNA splicing, via spliceosome, intracellular protein transport, regulation of macroautophagy, proton motive force-driven mitochondrial ATP synthesis"
"caa","0.05","cvda_4gp21","path","extracellular matrix organization, collagen fibril organization, skin development","cytoplasmic translation, translation, translational initiation, intracellular protein transport, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, protein folding, ubiquitin-dependent protein catabolic process, chaperone-mediated protein folding, negative regulation of apoptotic process, proteasome-mediated ubiquitin-dependent protein catabolic process, mRNA splicing, via spliceosome, inner mitochondrial membrane organization, cell division, protein stabilization, protein K48-linked ubiquitination, RNA splicing, nucleosome assembly, ribosomal large subunit biogenesis, positive regulation of translation, proton transmembrane transport, protein ubiquitination, substantia nigra development, positive regulation of ATP-dependent activity, anterograde axonal transport, negative regulation of translation, protein polyubiquitination, membrane fission, protein transport, intracellular iron ion homeostasis, synaptic transmission, GABAergic, proton motive force-driven mitochondrial ATP synthesis, mitochondrial translation, protein K63-linked deubiquitination, regulation of translational initiation, stress granule assembly, protein deubiquitination, mRNA processing, mitochondrial electron transport, NADH to ubiquinone, response to endoplasmic reticulum stress"
