"phenotype","fdr_threshold","contrast","model","up","down"
"art","0.05","arteriol_scler1","basic","homophilic cell adhesion via plasma membrane adhesion molecules, actin cytoskeleton organization, ubiquitin-dependent protein catabolic process, cell adhesion, angiogenesis, protein ubiquitination, axon guidance, proteasome-mediated ubiquitin-dependent protein catabolic process, nervous system development, activation of cysteine-type endopeptidase activity involved in apoptotic process, cell migration, endocytosis, intracellular protein transport, negative regulation of protein catabolic process, negative regulation of DNA-templated transcription, negative regulation of cell population proliferation, neuron differentiation, symbiont entry into host cell, canonical NF-kappaB signal transduction, protein destabilization, regulation of small GTPase mediated signal transduction, protein polyubiquitination, Wnt signaling pathway, vesicle transport along microtubule, cellular response to chemokine, canonical glycolysis, regulation of cell differentiation, protein dephosphorylation, in utero embryonic development, rhythmic process, autophagy, positive regulation of cell migration, canonical Wnt signaling pathway, protein stabilization, phosphatidylinositol dephosphorylation, cholesterol metabolic process, cholesterol biosynthetic process, negative regulation of angiogenesis, Notch signaling pathway, cellular response to oxidative stress, negative regulation of cell migration, response to exogenous dsRNA, endocardial cushion morphogenesis, cellular response to insulin stimulus, pulmonary valve morphogenesis, response to peptide hormone, protein secretion, regulation of cell shape, negative regulation of neuron differentiation, osteoblast differentiation, brain development, non-canonical NF-kappaB signal transduction, phosphatidylinositol-3-phosphate biosynthetic process, adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway, transcription by RNA polymerase II, intracellular signal transduction, synapse organization, positive regulation of protein targeting to mitochondrion, animal organ morphogenesis, positive regulation of canonical NF-kappaB signal transduction, nuclear migration, negative regulation of gene expression, epithelial to mesenchymal transition, regulation of translational initiation, toll-like receptor 4 signaling pathway, positive regulation of neuron differentiation, positive regulation of protein catabolic process, peptidyl-tyrosine dephosphorylation, somatic stem cell population maintenance, T cell differentiation in thymus, mitotic cytokinesis, regulation of cell population proliferation, hippo signaling, pituitary gland development, post-embryonic development, neuron migration, protein homooligomerization, COPII-coated vesicle cargo loading, gene expression, negative regulation of autophagy, positive regulation of DNA-binding transcription factor activity, lamellipodium assembly, odontogenesis of dentin-containing tooth, inner mitochondrial membrane organization, axon extension, regulation of blood pressure, cellular response to starvation, small GTPase-mediated signal transduction, negative regulation of epithelial cell proliferation, positive regulation of protein import into nucleus, adenylate cyclase-activating adrenergic receptor signaling pathway, tissue homeostasis, establishment of mitotic spindle orientation, negative regulation of protein localization to plasma membrane, negative regulation of fat cell differentiation, translational initiation, BMP signaling pathway, retrograde transport, endosome to Golgi, Golgi organization, protein deubiquitination, positive regulation of gene expression, apoptotic process, DNA damage response, osteoclast differentiation, ERK1 and ERK2 cascade, Ras protein signal transduction, regulation of neurotransmitter receptor localization to postsynaptic specialization membrane, stem cell proliferation, exocytosis, central nervous system development, mammary gland development, epithelial cell proliferation, negative regulation of focal adhesion assembly","cilium assembly"
"art","0.05","arteriol_scler2","basic","cytoplasmic translation, translation, negative regulation of DNA-templated transcription, positive regulation of gene expression, protein refolding, regulation of cell differentiation, negative regulation of neuron differentiation, negative regulation of fat cell differentiation, animal organ morphogenesis, canonical Wnt signaling pathway, osteoclast differentiation, neuron differentiation, transcription by RNA polymerase II, cell fate commitment, regulation of mRNA splicing, via spliceosome, cell-cell signaling, cell maturation, positive regulation of cell differentiation, chaperone cofactor-dependent protein refolding, outflow tract morphogenesis, somatic stem cell population maintenance, DNA-templated transcription","DNA repair, cilium assembly, complement activation, classical pathway, nucleocytoplasmic transport, double-strand break repair via nonhomologous end joining"
"art","0.05","arteriol_scler3","basic","negative regulation of DNA-templated transcription, regulation of DNA-templated transcription, protein phosphorylation, intracellular signal transduction, regulation of small GTPase mediated signal transduction, positive regulation of gene expression, negative regulation of fat cell differentiation, regulation of cell differentiation, DNA-templated transcription, post-embryonic development, canonical Wnt signaling pathway, insulin receptor signaling pathway, actin cytoskeleton organization, positive regulation of miRNA transcription, positive regulation of multicellular organism growth, negative regulation of cell population proliferation, positive regulation of cell differentiation, establishment or maintenance of epithelial cell apical/basal polarity, cellular response to transforming growth factor beta stimulus, animal organ morphogenesis, centrosome localization, cell morphogenesis, epithelial cell proliferation, regulation of G1/S transition of mitotic cell cycle, canonical NF-kappaB signal transduction, neuron differentiation, intracellular receptor signaling pathway, positive regulation of fat cell differentiation, cell migration, focal adhesion assembly, tissue homeostasis, activation of GTPase activity, chondrocyte differentiation, mammary gland development, anterior/posterior pattern specification, DNA damage response, cell differentiation, branching involved in ureteric bud morphogenesis, adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway, somatic stem cell population maintenance, positive regulation of myoblast differentiation, cell fate commitment, osteoclast differentiation, axon guidance, platelet-derived growth factor receptor signaling pathway, hippo signaling, regulation of presynaptic membrane potential, Rho protein signal transduction, peptidyl-serine phosphorylation, nervous system development, in utero embryonic development, regulation of G0 to G1 transition, pituitary gland development, cellular response to hypoxia, negative regulation of neuron differentiation, gene expression, DNA methylation-dependent heterochromatin formation, cellular response to angiotensin, regulation of nucleotide-excision repair, epithelial to mesenchymal transition, positive regulation of double-strand break repair, face morphogenesis, central nervous system development, Ras protein signal transduction, blood vessel development, negative regulation of epithelial cell proliferation, regulation of mitotic metaphase/anaphase transition, striated muscle contraction, peptidyl-tyrosine dephosphorylation, negative regulation of miRNA transcription, negative regulation of gene expression, myoblast fusion, nucleosome disassembly, regulation of postsynaptic membrane potential, MAPK cascade, astrocyte differentiation, brain development, lung development, heart development, positive regulation of cell migration, lens development in camera-type eye, T cell proliferation, regulation of cell shape, amyloid-beta clearance, positive regulation of canonical Wnt signaling pathway, neuroblast proliferation, angiogenesis, positive regulation of cardiac muscle cell proliferation, skeletal system morphogenesis, heart morphogenesis, digestive tract development, positive regulation of cell population proliferation, embryonic digit morphogenesis, positive regulation of angiogenesis, negative regulation of G1/S transition of mitotic cell cycle, establishment of mitotic spindle orientation, regulation of mRNA stability, cellular response to retinoic acid, response to hypoxia, skeletal system development, p38MAPK cascade, positive regulation of vascular associated smooth muscle cell migration, positive regulation of cell cycle, transcription by RNA polymerase II, cell fate specification, positive regulation of lipid biosynthetic process, negative regulation of canonical Wnt signaling pathway, ERK1 and ERK2 cascade, ventricular septum morphogenesis, cochlea morphogenesis, positive regulation of vascular endothelial growth factor production, positive regulation of transforming growth factor beta receptor signaling pathway, phosphatidylinositol phosphate biosynthetic process, positive regulation of dendritic spine development, regulation of actin cytoskeleton organization","mitochondrial translation, proton transmembrane transport, translation, proton motive force-driven mitochondrial ATP synthesis, cellular oxidant detoxification, ribosomal small subunit biogenesis, mitochondrial respiratory chain complex I assembly, nucleobase-containing compound metabolic process, tricarboxylic acid cycle, proton motive force-driven ATP synthesis, rRNA processing, cytoplasmic translation, fatty acid beta-oxidation, spliceosomal snRNP assembly, hydrogen peroxide catabolic process, glutathione metabolic process, U2-type prespliceosome assembly, ribosomal large subunit biogenesis, aerobic respiration, mRNA splicing, via spliceosome, mitochondrial cytochrome c oxidase assembly, mitochondrial electron transport, NADH to ubiquinone, 2-oxoglutarate metabolic process, endoplasmic reticulum to Golgi vesicle-mediated transport, iron-sulfur cluster assembly, mitotic metaphase chromosome alignment, autophagosome maturation"
"art","0.05","arteriol_scler1","lifestyle","actin cytoskeleton organization, ubiquitin-dependent protein catabolic process, angiogenesis, negative regulation of DNA-templated transcription, protein ubiquitination, positive regulation of cell migration, endocytic recycling, Wnt signaling pathway, regulation of small GTPase mediated signal transduction, proteasome-mediated ubiquitin-dependent protein catabolic process, protein stabilization, protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway, intracellular protein transport, canonical Wnt signaling pathway, neuron differentiation, cellular response to chemokine, protein dephosphorylation, endocytosis, symbiont entry into host cell, protein polyubiquitination, positive regulation of DNA-binding transcription factor activity, negative regulation of gene expression, canonical NF-kappaB signal transduction, cholesterol biosynthetic process, regulation of presynapse assembly, activation of cysteine-type endopeptidase activity involved in apoptotic process, animal organ morphogenesis, brain development, positive regulation of gene expression, negative regulation of cell population proliferation, cell adhesion, somatic stem cell population maintenance, axon guidance, T cell differentiation in thymus, cholesterol metabolic process, negative regulation of cell growth, epithelial to mesenchymal transition, regulation of cell differentiation, post-embryonic development, leukocyte migration, negative regulation of fat cell differentiation, phosphatidylinositol dephosphorylation, maintenance of blood-brain barrier, negative regulation of neuron differentiation, retrograde transport, endosome to Golgi, cellular response to insulin stimulus, positive regulation of canonical Wnt signaling pathway, central nervous system development, pituitary gland development, epithelial cell proliferation, negative regulation of protein catabolic process, peptidyl-tyrosine dephosphorylation, regulation of protein stability, protein localization, in utero embryonic development, regulation of blood pressure, synapse organization, Ras protein signal transduction, dentate gyrus development, adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway, outflow tract morphogenesis, blood vessel remodeling, substrate adhesion-dependent cell spreading, rhythmic process, tissue homeostasis, vasculogenesis, negative regulation of cell migration, transcription by RNA polymerase II, lamellipodium assembly, canonical glycolysis, focal adhesion assembly, small GTPase-mediated signal transduction, response to peptide hormone, DNA damage response, negative regulation of canonical Wnt signaling pathway, Notch signaling pathway, aortic valve morphogenesis, negative regulation of epithelial cell proliferation, cellular response to amino acid starvation, ventricular septum morphogenesis, positive regulation of neuron differentiation, melanosome organization, pulmonary valve morphogenesis, establishment of mitotic spindle orientation, autophagy, negative regulation of protein localization to plasma membrane, negative regulation of NF-kappaB transcription factor activity, endocardial cushion morphogenesis, positive regulation of protein import into nucleus, lung development, positive regulation of canonical NF-kappaB signal transduction, positive regulation of GTPase activity, cellular response to oxidative stress, nervous system development, heme biosynthetic process, negative regulation of focal adhesion assembly, protein refolding, positive regulation of Notch signaling pathway, mRNA splicing, via spliceosome, cell migration, positive regulation of protein metabolic process, gene expression, cell surface receptor protein tyrosine kinase signaling pathway, hippo signaling, mitotic cytokinesis, regulation of cell population proliferation, homophilic cell adhesion via plasma membrane adhesion molecules, phosphatidylinositol-3-phosphate biosynthetic process, odontogenesis of dentin-containing tooth, heart morphogenesis, osteoclast differentiation, positive regulation of protein localization to nucleus, negative regulation of autophagy","cilium assembly"
"art","0.05","arteriol_scler2","lifestyle","cytoplasmic translation, translation, negative regulation of DNA-templated transcription, positive regulation of gene expression, protein refolding, regulation of cell differentiation, negative regulation of fat cell differentiation","homophilic cell adhesion via plasma membrane adhesion molecules"
"art","0.05","arteriol_scler3","lifestyle","negative regulation of DNA-templated transcription, regulation of DNA-templated transcription, positive regulation of gene expression, negative regulation of fat cell differentiation, positive regulation of cell differentiation, canonical NF-kappaB signal transduction, negative regulation of cell population proliferation, intracellular signal transduction, digestive tract development, insulin receptor signaling pathway, actin cytoskeleton organization, DNA-templated transcription, canonical Wnt signaling pathway, DNA damage response, protein phosphorylation, post-embryonic development, epithelial cell proliferation, negative regulation of G1/S transition of mitotic cell cycle, cellular response to transforming growth factor beta stimulus, in utero embryonic development, positive regulation of myoblast differentiation, positive regulation of double-strand break repair, regulation of cell differentiation, T cell proliferation, somatic stem cell population maintenance, osteoclast differentiation, positive regulation of miRNA transcription, positive regulation of fat cell differentiation, epithelial to mesenchymal transition, positive regulation of multicellular organism growth, neural tube development, regulation of G0 to G1 transition, anterior/posterior pattern specification, negative regulation of canonical Wnt signaling pathway, cell differentiation, regulation of cell shape, cell fate commitment, animal organ morphogenesis, regulation of small GTPase mediated signal transduction, regulation of nucleotide-excision repair, chromatin organization, skeletal muscle cell differentiation, negative regulation of neuron differentiation, regulation of mRNA stability, tissue homeostasis, platelet-derived growth factor receptor signaling pathway, peptidyl-serine phosphorylation, negative regulation of gene expression, transcription by RNA polymerase II, regulation of G1/S transition of mitotic cell cycle, intracellular receptor signaling pathway, negative regulation of gene expression, epigenetic, establishment or maintenance of epithelial cell apical/basal polarity, DNA methylation-dependent heterochromatin formation, chondrocyte differentiation, neuron differentiation, outflow tract morphogenesis, branching involved in ureteric bud morphogenesis, centrosome localization, cell fate specification, odontogenesis of dentin-containing tooth, positive regulation of cardiac muscle cell proliferation, positive regulation of cell population proliferation, face morphogenesis, pituitary gland development, negative regulation of cell growth, response to ischemia, regulation of cell population proliferation, negative regulation of epithelial cell proliferation","mitochondrial translation, tricarboxylic acid cycle, mitochondrial respiratory chain complex I assembly, proton transmembrane transport, proton motive force-driven mitochondrial ATP synthesis, endoplasmic reticulum to Golgi vesicle-mediated transport, 2-oxoglutarate metabolic process, inner mitochondrial membrane organization, hydrogen peroxide catabolic process, aerobic respiration, glutathione metabolic process, hematopoietic stem cell homeostasis, nucleobase-containing compound metabolic process, nucleotide-excision repair, mitochondrial electron transport, NADH to ubiquinone, fatty acid beta-oxidation, intracellular iron ion homeostasis"
"art","0.05","arteriol_scler1","AD","actin cytoskeleton organization, ubiquitin-dependent protein catabolic process, angiogenesis, intracellular protein transport, protein ubiquitination, Wnt signaling pathway, cholesterol metabolic process, endocytic recycling, protein stabilization, negative regulation of protein catabolic process, negative regulation of DNA-templated transcription, positive regulation of cell migration, cell adhesion, canonical glycolysis, cholesterol biosynthetic process, protein dephosphorylation, symbiont entry into host cell, regulation of small GTPase mediated signal transduction, protein polyubiquitination, neuron differentiation, axon guidance, activation of cysteine-type endopeptidase activity involved in apoptotic process, cellular response to chemokine, positive regulation of gene expression, regulation of cell differentiation, tissue homeostasis, blood vessel remodeling, T cell differentiation in thymus, positive regulation of DNA-binding transcription factor activity, retrograde transport, endosome to Golgi, proteasome-mediated ubiquitin-dependent protein catabolic process, protein refolding, canonical NF-kappaB signal transduction, canonical Wnt signaling pathway, epithelial cell proliferation, protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway, regulation of presynapse assembly, heme biosynthetic process, animal organ morphogenesis, protein localization, negative regulation of cell population proliferation, regulation of protein stability, small GTPase-mediated signal transduction, mRNA splicing, via spliceosome, transcription by RNA polymerase II, central nervous system development, pituitary gland development, regulation of mRNA stability, vasculogenesis, epithelial to mesenchymal transition, phosphatidylinositol dephosphorylation, endocytosis, leukocyte migration, positive regulation of Notch signaling pathway, post-embryonic development, outflow tract morphogenesis, cellular response to insulin stimulus, in utero embryonic development, negative regulation of cell migration, negative regulation of gene expression, substrate adhesion-dependent cell spreading, Notch signaling pathway, melanosome organization, negative regulation of fat cell differentiation, negative regulation of cell growth, peptidyl-tyrosine dephosphorylation, positive regulation of protein localization to nucleus, somatic stem cell population maintenance, rhythmic process, homophilic cell adhesion via plasma membrane adhesion molecules, endocardial cushion morphogenesis, response to peptide hormone, regulation of blood pressure, brain development, positive regulation of canonical Wnt signaling pathway, focal adhesion assembly, negative regulation of programmed cell death, synapse organization, maintenance of blood-brain barrier, protein destabilization, forebrain development, cell-matrix adhesion, lamellipodium assembly, glycolytic process, autophagy, axon extension, mitotic cytokinesis, negative regulation of neuron differentiation, odontogenesis of dentin-containing tooth, pulmonary valve morphogenesis, layer formation in cerebral cortex, negative regulation of protein ubiquitination, gene expression","cilium assembly"
"art","0.05","arteriol_scler2","AD","cytoplasmic translation, translation, negative regulation of DNA-templated transcription, protein refolding, positive regulation of gene expression, negative regulation of fat cell differentiation, stem cell differentiation, dentate gyrus development, negative regulation of cell growth, canonical Wnt signaling pathway, negative regulation of neuron differentiation, regulation of cell differentiation, cell fate commitment, positive regulation of neuron differentiation, epithelial cell proliferation, negative regulation of ERK1 and ERK2 cascade, negative regulation of G1/S transition of mitotic cell cycle, osteoclast differentiation, somatic stem cell population maintenance, outflow tract morphogenesis, animal organ morphogenesis, Notch signaling pathway, positive regulation of cell migration, regulation of G0 to G1 transition, T cell proliferation, negative regulation of viral genome replication, positive regulation of cell differentiation","DNA repair, nucleocytoplasmic transport, fatty acid biosynthetic process, cilium assembly, DNA duplex unwinding"
"art","0.05","arteriol_scler3","AD","negative regulation of DNA-templated transcription, regulation of DNA-templated transcription, positive regulation of gene expression, positive regulation of cell differentiation, insulin receptor signaling pathway, intracellular signal transduction, digestive tract development, negative regulation of fat cell differentiation, epithelial cell proliferation, DNA damage response, negative regulation of cell population proliferation, canonical NF-kappaB signal transduction, protein phosphorylation, cellular response to transforming growth factor beta stimulus, positive regulation of myoblast differentiation, DNA-templated transcription, canonical Wnt signaling pathway, actin cytoskeleton organization, post-embryonic development, T cell proliferation, somatic stem cell population maintenance, positive regulation of double-strand break repair, in utero embryonic development, positive regulation of fat cell differentiation, regulation of cell differentiation, negative regulation of G1/S transition of mitotic cell cycle, neural tube development, positive regulation of miRNA transcription, regulation of G0 to G1 transition, anterior/posterior pattern specification, negative regulation of canonical Wnt signaling pathway, negative regulation of gene expression, osteoclast differentiation, epithelial to mesenchymal transition, tissue homeostasis, cell differentiation, regulation of mRNA stability, positive regulation of multicellular organism growth, animal organ morphogenesis, regulation of cell shape, skeletal muscle cell differentiation, transcription by RNA polymerase II, intracellular receptor signaling pathway, negative regulation of cell growth, cell fate commitment, negative regulation of neuron differentiation, chromatin organization, pituitary gland development, branching involved in ureteric bud morphogenesis, regulation of small GTPase mediated signal transduction, regulation of nucleotide-excision repair, spleen development, platelet-derived growth factor receptor signaling pathway, response to ischemia, positive regulation of cell population proliferation, cellular response to hypoxia, DNA methylation-dependent heterochromatin formation, face morphogenesis, peptidyl-serine phosphorylation, negative regulation of gene expression, epigenetic, regulation of G1/S transition of mitotic cell cycle, neuron differentiation, centrosome duplication, centrosome localization, regulation of mitotic metaphase/anaphase transition, angiogenesis, positive regulation of cardiac muscle cell proliferation, cell fate specification, cochlea morphogenesis, hippo signaling, Ras protein signal transduction, chondrocyte differentiation, regulation of cell population proliferation, establishment or maintenance of epithelial cell apical/basal polarity, central nervous system development, p38MAPK cascade","mitochondrial translation, tricarboxylic acid cycle, proton motive force-driven mitochondrial ATP synthesis, proton transmembrane transport, mitochondrial respiratory chain complex I assembly, 2-oxoglutarate metabolic process, endoplasmic reticulum to Golgi vesicle-mediated transport, hydrogen peroxide catabolic process, inner mitochondrial membrane organization, aerobic respiration, glutathione metabolic process, mitochondrial electron transport, NADH to ubiquinone, hematopoietic stem cell homeostasis, nucleobase-containing compound metabolic process, nucleotide-excision repair"
"art","0.05","arteriol_scler1","path","ubiquitin-dependent protein catabolic process, actin cytoskeleton organization, intracellular protein transport, phosphatidylinositol dephosphorylation, Wnt signaling pathway, angiogenesis, protein stabilization, proteasome-mediated ubiquitin-dependent protein catabolic process, protein ubiquitination, activation of cysteine-type endopeptidase activity involved in apoptotic process, protein polyubiquitination, proton transmembrane transport, endocytosis, cholesterol metabolic process, protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway, regulation of cell differentiation, symbiont entry into host cell, rhythmic process, mRNA splicing, via spliceosome, positive regulation of cell migration, central nervous system development, blood vessel remodeling, cell adhesion, heme biosynthetic process, nuclear migration, cellular response to chemokine, dentate gyrus development, negative regulation of protein catabolic process, cholesterol biosynthetic process, translational initiation, small GTPase-mediated signal transduction, retrograde transport, endosome to Golgi, regulation of small GTPase mediated signal transduction, protein localization, neuron differentiation, axon guidance, negative regulation of DNA-templated transcription, regulation of blood pressure, protein dephosphorylation, transcription by RNA polymerase II, endocytic recycling, regulation of presynapse assembly, T cell differentiation in thymus, positive regulation of neuron differentiation, ATP metabolic process, endocardial cushion morphogenesis, protein destabilization, autophagy, epithelial to mesenchymal transition, chromatin organization, post-embryonic development, canonical Wnt signaling pathway, protein refolding, DNA damage response",""
