"phenotype","fdr_threshold","contrast","model","up","down"
"cvda","0.05","cvda_4gp21","basic","extracellular matrix organization, regulation of small GTPase mediated signal transduction, axon guidance, collagen fibril organization, neural tube development, regulation of neuronal synaptic plasticity, regulation of actin cytoskeleton organization, camera-type eye morphogenesis","cytoplasmic translation, translation, translational initiation, protein folding, endoplasmic reticulum to Golgi vesicle-mediated transport, ribosomal small subunit biogenesis, chaperone-mediated protein folding, intracellular protein transport, mRNA splicing, via spliceosome, negative regulation of apoptotic process, proton transmembrane transport, mitochondrial translation, positive regulation of telomere maintenance via telomerase, protein K48-linked ubiquitination, ribosomal large subunit biogenesis, protein stabilization, proton motive force-driven mitochondrial ATP synthesis, protein targeting to mitochondrion, U2-type prespliceosome assembly, chaperone-mediated protein complex assembly, RNA splicing, rRNA processing, nucleosome assembly, regulation of macroautophagy, inner mitochondrial membrane organization, protein neddylation, protein transport, regulation of translational initiation, intracellular iron ion homeostasis, mitochondrial electron transport, NADH to ubiquinone, autophagosome maturation, ubiquitin-dependent protein catabolic process, substantia nigra development, positive regulation of ATP-dependent activity, intra-Golgi vesicle-mediated transport, mitochondrial respiratory chain complex I assembly, aerobic respiration, positive regulation of translation, regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion, mitochondrial electron transport, cytochrome c to oxygen, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, protein K63-linked deubiquitination, translational elongation, tricarboxylic acid cycle"
"cvda","0.05","cvda_4gp22","basic","collagen fibril organization, extracellular matrix organization, positive regulation of cholesterol efflux, miRNA-mediated post-transcriptional gene silencing","translation, cytoplasmic translation, intracellular protein transport, translational initiation, protein folding, proteasome-mediated ubiquitin-dependent protein catabolic process, cell division, endoplasmic reticulum to Golgi vesicle-mediated transport, chaperone-mediated protein folding, negative regulation of apoptotic process, mitochondrial translation, ribosomal small subunit biogenesis, ubiquitin-dependent protein catabolic process, ribosomal large subunit biogenesis, protein K48-linked ubiquitination, regulation of translational initiation, mitotic metaphase chromosome alignment, positive regulation of telomere maintenance via telomerase, protein transport, vesicle-mediated transport, protein stabilization, rRNA processing, protein targeting to mitochondrion, binding of sperm to zona pellucida, G1/S transition of mitotic cell cycle, protein ubiquitination, anterograde axonal transport, tricarboxylic acid cycle, chromosome segregation, nucleosome assembly, protein polyubiquitination, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, double-strand break repair, regulation of macroautophagy, substantia nigra development, spindle organization, positive regulation of protein ubiquitination, mitotic cell cycle, inner mitochondrial membrane organization, intra-Golgi vesicle-mediated transport, intracellular iron ion homeostasis, negative regulation of phagocytosis, protein import into nucleus, protein deubiquitination, mRNA splicing, via spliceosome, DNA damage checkpoint signaling, synaptic vesicle priming, melanosome transport, autophagosome maturation, fatty acid beta-oxidation, protein K63-linked ubiquitination, U2-type prespliceosome assembly"
"cvda","0.05","cvda_4gp23","basic","cell migration, angiogenesis, regulation of small GTPase mediated signal transduction, inflammatory response, spinal cord development, lung development, intracellular signal transduction, actin cytoskeleton organization, negative regulation of cell population proliferation, Rho protein signal transduction, regulation of cell shape, protein phosphorylation, skeletal muscle cell differentiation, skeletal system development, response to immobilization stress, interleukin-1-mediated signaling pathway, odontogenesis of dentin-containing tooth, cell differentiation, nuclear migration, positive regulation of miRNA transcription, cellular response to hypoxia, in utero embryonic development, cellular response to tumor necrosis factor, canonical NF-kappaB signal transduction, extracellular matrix organization, collagen fibril organization, actin filament organization, heart morphogenesis, monocyte differentiation, negative regulation of DNA-templated transcription","cytoplasmic translation, translation, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, cilium assembly, ribosomal large subunit biogenesis, mRNA splicing, via spliceosome, U2-type prespliceosome assembly"
"cvda","0.05","cvda_4gp21","lifestyle","collagen fibril organization, skin development, extracellular matrix organization","cytoplasmic translation, translation, translational initiation, intracellular protein transport, endoplasmic reticulum to Golgi vesicle-mediated transport, ribosomal small subunit biogenesis, chaperone-mediated protein folding, protein folding, mRNA splicing, via spliceosome, negative regulation of apoptotic process, inner mitochondrial membrane organization, protein stabilization, proton transmembrane transport, ribosomal large subunit biogenesis, mitochondrial translation, ubiquitin-dependent protein catabolic process, proton motive force-driven mitochondrial ATP synthesis, protein N-linked glycosylation via asparagine, U2-type prespliceosome assembly, regulation of macroautophagy, proteasome-mediated ubiquitin-dependent protein catabolic process, protein K48-linked ubiquitination, rRNA processing, anterograde axonal transport, viral release from host cell, regulation of translational initiation, nucleosome assembly, positive regulation of translation, autophagosome maturation, RNA splicing, protein targeting to mitochondrion, synaptic vesicle priming, response to endoplasmic reticulum stress, substantia nigra development, aerobic respiration, mitochondrial respiratory chain complex I assembly, protein neddylation, vesicle-mediated transport, mitochondrial electron transport, NADH to ubiquinone, protein transport, cell division, positive regulation of telomere maintenance via telomerase, intracellular iron ion homeostasis, mitotic spindle organization, mitotic metaphase chromosome alignment"
"cvda","0.05","cvda_4gp22","lifestyle","collagen fibril organization, extracellular matrix organization","cytoplasmic translation, translation, intracellular protein transport, mitochondrial translation, endoplasmic reticulum to Golgi vesicle-mediated transport, proteasome-mediated ubiquitin-dependent protein catabolic process, translational initiation, ribosomal small subunit biogenesis, protein folding, cell division, ubiquitin-dependent protein catabolic process, ribosomal large subunit biogenesis, regulation of translational initiation, chaperone-mediated protein folding, negative regulation of apoptotic process, binding of sperm to zona pellucida, protein polyubiquitination, intra-Golgi vesicle-mediated transport, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, protein transport, proton motive force-driven mitochondrial ATP synthesis, intracellular iron ion homeostasis, inner mitochondrial membrane organization, protein K48-linked ubiquitination, synaptic vesicle priming, anterograde axonal transport, positive regulation of telomere maintenance via telomerase, plasma membrane repair, response to endoplasmic reticulum stress, substantia nigra development, protein ubiquitination, regulation of synaptic vesicle exocytosis, membrane fission, vesicle-mediated transport, regulation of macroautophagy, positive regulation of protein ubiquitination, ERAD pathway"
"cvda","0.05","cvda_4gp23","lifestyle","protein phosphorylation, response to immobilization stress, odontogenesis of dentin-containing tooth, regulation of small GTPase mediated signal transduction, collagen fibril organization, monoatomic ion transmembrane transport, cell migration, angiogenesis, intracellular signal transduction, keratan sulfate biosynthetic process, lung development","cytoplasmic translation, translation, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, ribosomal small subunit biogenesis, mRNA splicing, via spliceosome, intracellular protein transport, ribosomal large subunit biogenesis, regulation of macroautophagy"
"cvda","0.05","cvda_4gp21","AD","collagen fibril organization, skin development, extracellular matrix organization","cytoplasmic translation, translation, translational initiation, intracellular protein transport, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, chaperone-mediated protein folding, negative regulation of apoptotic process, protein folding, mRNA splicing, via spliceosome, inner mitochondrial membrane organization, ribosomal large subunit biogenesis, protein stabilization, proton transmembrane transport, mitochondrial translation, proton motive force-driven mitochondrial ATP synthesis, ubiquitin-dependent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process, regulation of translational initiation, protein K48-linked ubiquitination, synaptic vesicle priming, nucleosome assembly, U2-type prespliceosome assembly, protein targeting to mitochondrion, mitochondrial electron transport, NADH to ubiquinone, RNA splicing, regulation of macroautophagy, substantia nigra development, cell division, protein N-linked glycosylation via asparagine, anterograde axonal transport, viral release from host cell, autophagosome maturation, positive regulation of translation, response to endoplasmic reticulum stress, mitochondrial respiratory chain complex I assembly, positive regulation of telomere maintenance via telomerase, protein neddylation, aerobic respiration, rRNA processing, intracellular iron ion homeostasis, stress granule assembly, vesicle-mediated transport, synaptic transmission, GABAergic, mitotic metaphase chromosome alignment, mitotic spindle organization, negative regulation of translation, negative regulation of proteasomal ubiquitin-dependent protein catabolic process, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, protein transport, positive regulation of ATP-dependent activity"
"cvda","0.05","cvda_4gp22","AD","collagen fibril organization, extracellular matrix organization, miRNA-mediated post-transcriptional gene silencing","cytoplasmic translation, translation, intracellular protein transport, endoplasmic reticulum to Golgi vesicle-mediated transport, proteasome-mediated ubiquitin-dependent protein catabolic process, mitochondrial translation, translational initiation, protein folding, ribosomal small subunit biogenesis, cell division, ubiquitin-dependent protein catabolic process, regulation of translational initiation, chaperone-mediated protein folding, negative regulation of apoptotic process, ribosomal large subunit biogenesis, protein polyubiquitination, intra-Golgi vesicle-mediated transport, binding of sperm to zona pellucida, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, protein transport, proton motive force-driven mitochondrial ATP synthesis, intracellular iron ion homeostasis, positive regulation of telomere maintenance via telomerase, inner mitochondrial membrane organization, protein K48-linked ubiquitination, protein ubiquitination, plasma membrane repair, substantia nigra development, response to endoplasmic reticulum stress, anterograde axonal transport, regulation of synaptic vesicle exocytosis, regulation of macroautophagy, synaptic vesicle priming, response to unfolded protein, vesicle-mediated transport, fatty acid beta-oxidation, autophagosome maturation, U2-type prespliceosome assembly, protein deubiquitination, protein targeting to mitochondrion, membrane fission, protein stabilization, mitotic metaphase chromosome alignment, membrane organization, mitochondrial electron transport, NADH to ubiquinone, ERAD pathway, positive regulation of protein ubiquitination, positive regulation of translation"
"cvda","0.05","cvda_4gp23","AD","protein phosphorylation, regulation of small GTPase mediated signal transduction, response to immobilization stress, odontogenesis of dentin-containing tooth, cell migration, collagen fibril organization, angiogenesis, intracellular signal transduction, monoatomic ion transmembrane transport, lung development, keratan sulfate biosynthetic process, skeletal muscle cell differentiation, Rho protein signal transduction, spinal cord development, positive regulation of angiogenesis, cell-cell signaling, inflammatory response, cell differentiation","cytoplasmic translation, translation, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, ribosomal small subunit biogenesis, mRNA splicing, via spliceosome, ribosomal large subunit biogenesis, intracellular protein transport, regulation of macroautophagy, proton motive force-driven mitochondrial ATP synthesis, rRNA processing"
"cvda","0.05","cvda_4gp21","path","extracellular matrix organization, collagen fibril organization, skin development","cytoplasmic translation, translation, translational initiation, intracellular protein transport, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, ubiquitin-dependent protein catabolic process, protein folding, negative regulation of apoptotic process, chaperone-mediated protein folding, mRNA splicing, via spliceosome, proteasome-mediated ubiquitin-dependent protein catabolic process, inner mitochondrial membrane organization, protein stabilization, cell division, protein K48-linked ubiquitination, RNA splicing, positive regulation of translation, ribosomal large subunit biogenesis, protein ubiquitination, nucleosome assembly, membrane fission, substantia nigra development, proton transmembrane transport, protein polyubiquitination, mitochondrial translation, protein transport, positive regulation of ATP-dependent activity, regulation of translational initiation, protein K63-linked deubiquitination, intracellular iron ion homeostasis, negative regulation of translation, protein deubiquitination, mRNA processing, synaptic transmission, GABAergic, regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion, stress granule assembly, mitochondrial electron transport, NADH to ubiquinone, mitotic metaphase chromosome alignment, anterograde axonal transport, Rab protein signal transduction, proton motive force-driven mitochondrial ATP synthesis, protein neddylation, response to endoplasmic reticulum stress"
